feature,label
"  (0, 152)	0.055759195985616905
  (0, 11490)	0.15313960442945423
  (0, 1480)	0.040271593880598505
  (0, 13375)	0.0579993003409625
  (0, 14336)	0.25506859491276157
  (0, 10232)	0.41019456786940134
  (0, 10455)	0.059018053727134194
  (0, 8302)	0.03516410147580959
  (0, 5554)	0.0379109522010205
  (0, 7212)	0.05508107727770068
  (0, 8597)	0.024264960917341268
  (0, 3321)	0.034872216229808815
  (0, 14707)	0.059870545743321325
  (0, 4124)	0.06581731914163302
  (0, 5035)	0.026960660430899175
  (0, 1293)	0.033355841660371484
  (0, 6933)	0.042900751139905866
  (0, 5675)	0.10655082686681765
  (0, 1218)	0.07105018004332005
  (0, 6175)	0.05878070355832607
  (0, 12394)	0.086642189836323
  (0, 6875)	0.15113436289813323
  (0, 2722)	0.045992382118279176
  (0, 6177)	0.07840946222197227
  (0, 229)	0.05611540613753012
  :	:
  (2224, 13806)	0.023289023645825257
  (2224, 4363)	0.02240854959033024
  (2224, 4401)	0.020695800588895228
  (2224, 4442)	0.023289023645825257
  (2224, 13270)	0.0434512017098258
  (2224, 6520)	0.02240854959033024
  (2224, 5797)	0.023289023645825257
  (2224, 6522)	0.01931246386744495
  (2224, 2798)	0.021167591107741583
  (2224, 14680)	0.015769986777310535
  (2224, 12274)	0.023289023645825257
  (2224, 4287)	0.04057423410449312
  (2224, 6848)	0.017639723020057486
  (2224, 8701)	0.03985326525030585
  (2224, 4712)	0.02240854959033024
  (2224, 167)	0.06986707093747578
  (2224, 7070)	0.023289023645825257
  (2224, 809)	0.0217256008549129
  (2224, 12837)	0.02240854959033024
  (2224, 14323)	0.17926839672264192
  (2224, 6849)	0.023289023645825257
  (2224, 9535)	0.02240854959033024
  (2224, 8534)	0.13973414187495156
  (2224, 3537)	0.02240854959033024
  (2224, 6495)	0.023289023645825257",business
"  (0, 152)	0.055759195985616905
  (0, 11490)	0.15313960442945423
  (0, 1480)	0.040271593880598505
  (0, 13375)	0.0579993003409625
  (0, 14336)	0.25506859491276157
  (0, 10232)	0.41019456786940134
  (0, 10455)	0.059018053727134194
  (0, 8302)	0.03516410147580959
  (0, 5554)	0.0379109522010205
  (0, 7212)	0.05508107727770068
  (0, 8597)	0.024264960917341268
  (0, 3321)	0.034872216229808815
  (0, 14707)	0.059870545743321325
  (0, 4124)	0.06581731914163302
  (0, 5035)	0.026960660430899175
  (0, 1293)	0.033355841660371484
  (0, 6933)	0.042900751139905866
  (0, 5675)	0.10655082686681765
  (0, 1218)	0.07105018004332005
  (0, 6175)	0.05878070355832607
  (0, 12394)	0.086642189836323
  (0, 6875)	0.15113436289813323
  (0, 2722)	0.045992382118279176
  (0, 6177)	0.07840946222197227
  (0, 229)	0.05611540613753012
  :	:
  (2224, 13806)	0.023289023645825257
  (2224, 4363)	0.02240854959033024
  (2224, 4401)	0.020695800588895228
  (2224, 4442)	0.023289023645825257
  (2224, 13270)	0.0434512017098258
  (2224, 6520)	0.02240854959033024
  (2224, 5797)	0.023289023645825257
  (2224, 6522)	0.01931246386744495
  (2224, 2798)	0.021167591107741583
  (2224, 14680)	0.015769986777310535
  (2224, 12274)	0.023289023645825257
  (2224, 4287)	0.04057423410449312
  (2224, 6848)	0.017639723020057486
  (2224, 8701)	0.03985326525030585
  (2224, 4712)	0.02240854959033024
  (2224, 167)	0.06986707093747578
  (2224, 7070)	0.023289023645825257
  (2224, 809)	0.0217256008549129
  (2224, 12837)	0.02240854959033024
  (2224, 14323)	0.17926839672264192
  (2224, 6849)	0.023289023645825257
  (2224, 9535)	0.02240854959033024
  (2224, 8534)	0.13973414187495156
  (2224, 3537)	0.02240854959033024
  (2224, 6495)	0.023289023645825257",business
"  (0, 152)	0.055759195985616905
  (0, 11490)	0.15313960442945423
  (0, 1480)	0.040271593880598505
  (0, 13375)	0.0579993003409625
  (0, 14336)	0.25506859491276157
  (0, 10232)	0.41019456786940134
  (0, 10455)	0.059018053727134194
  (0, 8302)	0.03516410147580959
  (0, 5554)	0.0379109522010205
  (0, 7212)	0.05508107727770068
  (0, 8597)	0.024264960917341268
  (0, 3321)	0.034872216229808815
  (0, 14707)	0.059870545743321325
  (0, 4124)	0.06581731914163302
  (0, 5035)	0.026960660430899175
  (0, 1293)	0.033355841660371484
  (0, 6933)	0.042900751139905866
  (0, 5675)	0.10655082686681765
  (0, 1218)	0.07105018004332005
  (0, 6175)	0.05878070355832607
  (0, 12394)	0.086642189836323
  (0, 6875)	0.15113436289813323
  (0, 2722)	0.045992382118279176
  (0, 6177)	0.07840946222197227
  (0, 229)	0.05611540613753012
  :	:
  (2224, 13806)	0.023289023645825257
  (2224, 4363)	0.02240854959033024
  (2224, 4401)	0.020695800588895228
  (2224, 4442)	0.023289023645825257
  (2224, 13270)	0.0434512017098258
  (2224, 6520)	0.02240854959033024
  (2224, 5797)	0.023289023645825257
  (2224, 6522)	0.01931246386744495
  (2224, 2798)	0.021167591107741583
  (2224, 14680)	0.015769986777310535
  (2224, 12274)	0.023289023645825257
  (2224, 4287)	0.04057423410449312
  (2224, 6848)	0.017639723020057486
  (2224, 8701)	0.03985326525030585
  (2224, 4712)	0.02240854959033024
  (2224, 167)	0.06986707093747578
  (2224, 7070)	0.023289023645825257
  (2224, 809)	0.0217256008549129
  (2224, 12837)	0.02240854959033024
  (2224, 14323)	0.17926839672264192
  (2224, 6849)	0.023289023645825257
  (2224, 9535)	0.02240854959033024
  (2224, 8534)	0.13973414187495156
  (2224, 3537)	0.02240854959033024
  (2224, 6495)	0.023289023645825257",business
"  (0, 152)	0.055759195985616905
  (0, 11490)	0.15313960442945423
  (0, 1480)	0.040271593880598505
  (0, 13375)	0.0579993003409625
  (0, 14336)	0.25506859491276157
  (0, 10232)	0.41019456786940134
  (0, 10455)	0.059018053727134194
  (0, 8302)	0.03516410147580959
  (0, 5554)	0.0379109522010205
  (0, 7212)	0.05508107727770068
  (0, 8597)	0.024264960917341268
  (0, 3321)	0.034872216229808815
  (0, 14707)	0.059870545743321325
  (0, 4124)	0.06581731914163302
  (0, 5035)	0.026960660430899175
  (0, 1293)	0.033355841660371484
  (0, 6933)	0.042900751139905866
  (0, 5675)	0.10655082686681765
  (0, 1218)	0.07105018004332005
  (0, 6175)	0.05878070355832607
  (0, 12394)	0.086642189836323
  (0, 6875)	0.15113436289813323
  (0, 2722)	0.045992382118279176
  (0, 6177)	0.07840946222197227
  (0, 229)	0.05611540613753012
  :	:
  (2224, 13806)	0.023289023645825257
  (2224, 4363)	0.02240854959033024
  (2224, 4401)	0.020695800588895228
  (2224, 4442)	0.023289023645825257
  (2224, 13270)	0.0434512017098258
  (2224, 6520)	0.02240854959033024
  (2224, 5797)	0.023289023645825257
  (2224, 6522)	0.01931246386744495
  (2224, 2798)	0.021167591107741583
  (2224, 14680)	0.015769986777310535
  (2224, 12274)	0.023289023645825257
  (2224, 4287)	0.04057423410449312
  (2224, 6848)	0.017639723020057486
  (2224, 8701)	0.03985326525030585
  (2224, 4712)	0.02240854959033024
  (2224, 167)	0.06986707093747578
  (2224, 7070)	0.023289023645825257
  (2224, 809)	0.0217256008549129
  (2224, 12837)	0.02240854959033024
  (2224, 14323)	0.17926839672264192
  (2224, 6849)	0.023289023645825257
  (2224, 9535)	0.02240854959033024
  (2224, 8534)	0.13973414187495156
  (2224, 3537)	0.02240854959033024
  (2224, 6495)	0.023289023645825257",business
"  (0, 152)	0.055759195985616905
  (0, 11490)	0.15313960442945423
  (0, 1480)	0.040271593880598505
  (0, 13375)	0.0579993003409625
  (0, 14336)	0.25506859491276157
  (0, 10232)	0.41019456786940134
  (0, 10455)	0.059018053727134194
  (0, 8302)	0.03516410147580959
  (0, 5554)	0.0379109522010205
  (0, 7212)	0.05508107727770068
  (0, 8597)	0.024264960917341268
  (0, 3321)	0.034872216229808815
  (0, 14707)	0.059870545743321325
  (0, 4124)	0.06581731914163302
  (0, 5035)	0.026960660430899175
  (0, 1293)	0.033355841660371484
  (0, 6933)	0.042900751139905866
  (0, 5675)	0.10655082686681765
  (0, 1218)	0.07105018004332005
  (0, 6175)	0.05878070355832607
  (0, 12394)	0.086642189836323
  (0, 6875)	0.15113436289813323
  (0, 2722)	0.045992382118279176
  (0, 6177)	0.07840946222197227
  (0, 229)	0.05611540613753012
  :	:
  (2224, 13806)	0.023289023645825257
  (2224, 4363)	0.02240854959033024
  (2224, 4401)	0.020695800588895228
  (2224, 4442)	0.023289023645825257
  (2224, 13270)	0.0434512017098258
  (2224, 6520)	0.02240854959033024
  (2224, 5797)	0.023289023645825257
  (2224, 6522)	0.01931246386744495
  (2224, 2798)	0.021167591107741583
  (2224, 14680)	0.015769986777310535
  (2224, 12274)	0.023289023645825257
  (2224, 4287)	0.04057423410449312
  (2224, 6848)	0.017639723020057486
  (2224, 8701)	0.03985326525030585
  (2224, 4712)	0.02240854959033024
  (2224, 167)	0.06986707093747578
